2020-03-03 11:56:00.779 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 11:56:05.873 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 11:58:20.183 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 11:59:19.716 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 11:59:19.762 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 11:59:19.886 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 11:59:19.922 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 11:59:20.081 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 11:59:20.158 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 11:59:25.089 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 12:02:50.267 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 12:03:07.405 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 12:03:07.440 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 12:03:07.550 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 12:03:07.586 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 12:03:07.726 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 12:03:07.799 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 12:03:21.913 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 12:04:08.039 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 12:04:23.983 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 12:04:24.017 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 12:04:24.131 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 12:04:24.172 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 12:04:24.305 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 12:04:24.379 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
2020-03-03 12:04:29.246 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver - Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2020-03-03 12:08:41.904 [main] WARN  com.ctrip.framework.apollo.core.utils.ResourceUtils - No available properties: apollo-env.properties
2020-03-03 12:09:53.545 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.Wordbook.
2020-03-03 12:09:53.592 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.system.bean.ServiceWordbookGroup.
2020-03-03 12:09:53.688 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenu.
2020-03-03 12:09:53.723 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysMenuPermission.
2020-03-03 12:09:53.849 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysRole.
2020-03-03 12:09:53.914 [main] WARN  com.baomidou.mybatisplus.core.toolkit.TableInfoHelper - Warn: Could not find @TableId in Class: com.fhs.ucenter.bean.SysUser.
